## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.custom1,entity.custom2,entity.custom3,entity.custom4,entity.custom5,entity.custom6,entity.custom7,entity.custom8,entity.custom9,entity.custom10,entity.custom11,entity.custom12
lipofectamine,,,Lipofectamine transfection reagents are the most cited and trusted in the world due to their superior transfection performance and broad cell spectrum.,https://www.thermofisher.com/content/dam/LifeTech/Images/LT%20Globlal%20Images/Technical%20Resources/Featured%20Results/lipofectamine_videolink.jpg,,,,,Lipofectamine 3000,https://www.thermofisher.com/us/en/home/brands/product-brand/lipofectamine/lipofectamine-3000.html?SID=fr-lipofectamine-1,Lipofectamine 2000,https://www.thermofisher.com/us/en/home/brands/product-brand/lipofectamine/lipofectamine-2000.html?SID=fr-lipofectamine-3,Lipofectamine Stem,https://www.thermofisher.com/us/en/home/brands/product-brand/lipofectamine/lipofectamine-stem-transfection-reagent.html?SID=fr-lipofectamine-5,Lipofectamine RNAiMAX,https://www.thermofisher.com/us/en/home/brands/product-brand/lipofectamine/lipofectamine-rnaimx.html?SID=fr-lipofectamine-2,Lipofectamine MessengerMAX,https://www.thermofisher.com/us/en/home/brands/product-brand/lipofectamine/lipofectamine-messengermax.html?SID=fr-lipofectamine-4,Transfection Support Center,https://www.thermofisher.com/us/en/home/technical-resources/technical-reference-library/transfection-support-center.html?SID=fr-lipofectamine-6
2000,,,Lipofectamine transfection reagents are the most cited and trusted in the world due to their superior transfection performance and broad cell spectrum.,https://www.thermofisher.com/content/dam/LifeTech/Images/LT%20Globlal%20Images/Technical%20Resources/Featured%20Results/lipofectamine_videolink.jpg,,,,,Lipofectamine 3000,https://www.thermofisher.com/us/en/home/brands/product-brand/lipofectamine/lipofectamine-3000.html?SID=fr-lipofectamine-2,Lipofectamine 2000,https://www.thermofisher.com/us/en/home/brands/product-brand/lipofectamine/lipofectamine-2000.html?SID=fr-lipofectamine-4,Lipofectamine Stem,https://www.thermofisher.com/us/en/home/brands/product-brand/lipofectamine/lipofectamine-stem-transfection-reagent.html?SID=fr-lipofectamine-6,Lipofectamine RNAiMAX,https://www.thermofisher.com/us/en/home/brands/product-brand/lipofectamine/lipofectamine-rnaimx.html?SID=fr-lipofectamine-3,Lipofectamine MessengerMAX,https://www.thermofisher.com/us/en/home/brands/product-brand/lipofectamine/lipofectamine-messengermax.html?SID=fr-lipofectamine-5,Transfection Support Center,https://www.thermofisher.com/us/en/home/technical-resources/technical-reference-library/transfection-support-center.html?SID=fr-lipofectamine-7
transfection,,,Lipofectamine transfection reagents are the most cited and trusted in the world due to their superior transfection performance and broad cell spectrum.,https://www.thermofisher.com/content/dam/LifeTech/Images/LT%20Globlal%20Images/Technical%20Resources/Featured%20Results/lipofectamine_videolink.jpg,,,,,Lipofectamine 3000,https://www.thermofisher.com/us/en/home/brands/product-brand/lipofectamine/lipofectamine-3000.html?SID=fr-lipofectamine-3,Lipofectamine 2000,https://www.thermofisher.com/us/en/home/brands/product-brand/lipofectamine/lipofectamine-2000.html?SID=fr-lipofectamine-5,Lipofectamine Stem,https://www.thermofisher.com/us/en/home/brands/product-brand/lipofectamine/lipofectamine-stem-transfection-reagent.html?SID=fr-lipofectamine-7,Lipofectamine RNAiMAX,https://www.thermofisher.com/us/en/home/brands/product-brand/lipofectamine/lipofectamine-rnaimx.html?SID=fr-lipofectamine-4,Lipofectamine MessengerMAX,https://www.thermofisher.com/us/en/home/brands/product-brand/lipofectamine/lipofectamine-messengermax.html?SID=fr-lipofectamine-6,Transfection Support Center,https://www.thermofisher.com/us/en/home/technical-resources/technical-reference-library/transfection-support-center.html?SID=fr-lipofectamine-8
lipofectamine,,,Lipofectamine transfection reagents are the most cited and trusted in the world due to their superior transfection performance and broad cell spectrum.,https://www.thermofisher.com/content/dam/LifeTech/Images/LT%20Globlal%20Images/Technical%20Resources/Featured%20Results/lipofectamine_videolink.jpg,,,,,Lipofectamine 3000,https://www.thermofisher.com/us/en/home/brands/product-brand/lipofectamine/lipofectamine-3000.html?SID=fr-lipofectamine-4,Lipofectamine 2000,https://www.thermofisher.com/us/en/home/brands/product-brand/lipofectamine/lipofectamine-2000.html?SID=fr-lipofectamine-6,Lipofectamine Stem,https://www.thermofisher.com/us/en/home/brands/product-brand/lipofectamine/lipofectamine-stem-transfection-reagent.html?SID=fr-lipofectamine-8,Lipofectamine RNAiMAX,https://www.thermofisher.com/us/en/home/brands/product-brand/lipofectamine/lipofectamine-rnaimx.html?SID=fr-lipofectamine-5,Lipofectamine MessengerMAX,https://www.thermofisher.com/us/en/home/brands/product-brand/lipofectamine/lipofectamine-messengermax.html?SID=fr-lipofectamine-7,Transfection Support Center,https://www.thermofisher.com/us/en/home/technical-resources/technical-reference-library/transfection-support-center.html?SID=fr-lipofectamine-9
lipofectamine 2000,,,Lipofectamine transfection reagents are the most cited and trusted in the world due to their superior transfection performance and broad cell spectrum.,https://www.thermofisher.com/content/dam/LifeTech/Images/LT%20Globlal%20Images/Technical%20Resources/Featured%20Results/lipofectamine_videolink.jpg,,,,,Lipofectamine 3000,https://www.thermofisher.com/us/en/home/brands/product-brand/lipofectamine/lipofectamine-3000.html?SID=fr-lipofectamine-5,Lipofectamine 2000,https://www.thermofisher.com/us/en/home/brands/product-brand/lipofectamine/lipofectamine-2000.html?SID=fr-lipofectamine-7,Lipofectamine Stem,https://www.thermofisher.com/us/en/home/brands/product-brand/lipofectamine/lipofectamine-stem-transfection-reagent.html?SID=fr-lipofectamine-9,Lipofectamine RNAiMAX,https://www.thermofisher.com/us/en/home/brands/product-brand/lipofectamine/lipofectamine-rnaimx.html?SID=fr-lipofectamine-6,Lipofectamine MessengerMAX,https://www.thermofisher.com/us/en/home/brands/product-brand/lipofectamine/lipofectamine-messengermax.html?SID=fr-lipofectamine-8,Transfection Support Center,https://www.thermofisher.com/us/en/home/technical-resources/technical-reference-library/transfection-support-center.html?SID=fr-lipofectamine-10
lipofectamine2000,,,Lipofectamine transfection reagents are the most cited and trusted in the world due to their superior transfection performance and broad cell spectrum.,https://www.thermofisher.com/content/dam/LifeTech/Images/LT%20Globlal%20Images/Technical%20Resources/Featured%20Results/lipofectamine_videolink.jpg,,,,,Lipofectamine 3000,https://www.thermofisher.com/us/en/home/brands/product-brand/lipofectamine/lipofectamine-3000.html?SID=fr-lipofectamine-6,Lipofectamine 2000,https://www.thermofisher.com/us/en/home/brands/product-brand/lipofectamine/lipofectamine-2000.html?SID=fr-lipofectamine-8,Lipofectamine Stem,https://www.thermofisher.com/us/en/home/brands/product-brand/lipofectamine/lipofectamine-stem-transfection-reagent.html?SID=fr-lipofectamine-10,Lipofectamine RNAiMAX,https://www.thermofisher.com/us/en/home/brands/product-brand/lipofectamine/lipofectamine-rnaimx.html?SID=fr-lipofectamine-7,Lipofectamine MessengerMAX,https://www.thermofisher.com/us/en/home/brands/product-brand/lipofectamine/lipofectamine-messengermax.html?SID=fr-lipofectamine-9,Transfection Support Center,https://www.thermofisher.com/us/en/home/technical-resources/technical-reference-library/transfection-support-center.html?SID=fr-lipofectamine-11
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
